username,name,state,city,address,postalCode,telephone,lastLicenseNumber,lastLicenseValidityDate,nationalCode,registerNumber,manager,socialNetworkAccess,mobile
u10104028188,اسفندیاری ، مقدادی و شریک,تهران,تهران,خ وليعصر تقاطع طالقاني مجتمع نورتهران طبقه همکف سوم پلاک100و 101,1416794313,88226070,272514,1399/09/24,10104028188,356772,,,
u14007813720,اسماعیل ابراهیمی فرد و شرکاء,آذربایجان غربی,پیرانشهر,محله 15 خرداد، خیابان آزادی شرقی، بلوار شهید بهشتی، طبقه همکف,5781855636,,380231,1399/10/25,14007813720,860,محمد سليماني,,
u14007865188,اسماعیل صفرزاده و شرکاء,تهران,تهران,محله نادری - کوچه نوبهار - خیابان جمهوری اسلامی - پلاک 494 - پاساژ آرمان - طبقه همکف - واحد 20,1135856736,66701206,316880,1399/09/10,14007865188,532043,,,
u10220167717,اسماعیل مدرس مطلق و شرکاء,آذربایجان غربی,ارومیه,بلوار باهنر، بلوار فرهنگيانع جنب بانک رفاه کارگران، پلاک 104,5716753757,4413831812,352377,1398/12/28,10220167717,11721,عبداله مدرس مطلق,,
u14006094205,اسماعیل ناصری مجرد و شرکاء,فارس,شیراز,بلوار ستارخان-مجتمع تجاری بهاران. جنب بانک صادرات,7184737170,7136273018,460179,1400/11/01,14006094205,44750,اسماعيل ناصري مجرد,,
u14008655678,اسماعیل کوشاسی و شرکاء,تهران,تهران,تهران، بلوار میرداماد، میدان مادر، پلاک 34، طبقه اول,1546934513,2122226457,98/281573,1400/08/20,14008655678,547990,محمود كوشاسي,,
u10861882773,اسمعیل موغلی و شرکا,فارس,لارستان - لار,شهر جدید، ابتدای خیابان معلم ، نبش مجتمع تجاری تین و زیتون ، جنب بانک مسکن,7431719659,3338820-50,182389,1400/06/08,10861882773,730,,,
u10103388081,اسکندر رمضانی و شرکا,تهران,تهران,استان تهران ، شهر تهران ، خيابان فردوسي شمالی ، نبش کوشک ، پلاک 429 کد پستی : 1145615611,1145615611,2166340194,311167,1399/10/27,10103388081,302248,ناهيد قدياني,,
u14007675819,اصغر گرانمایه و شرکاء,تهران,تهران,بخش مرکزی- شهر تهران- محله زعفرانیه- خیابان شهید رضا علی حسینی- خیابان شهید اعجازی(آصف)-پلاک 39-طبقه همکف,1988893453,2188103039,148974,1400/05/01,14007675819,527740,امير موسوي زاده قلعه جوق,,
u14007750845,اصلانی وشرکاء,زنجان,زنجان,استان زنجان، بخش مرکزی، دباغها، خیابان امام موسی صدر (صدر جهان)، خیابان امام خمینی، پلاک 155، مجتمع تجاری تفریحی نور، طبقه همکف، واحد 121,4516651778,,98/410637,1399/07/17,14007750845,12165,بهزاد اصلاني,,
u10861981861,افراخته و شرکاء,سیستان و بلوچستان,منطقه آزاد چابهار,مجتمع تجاري صدف ، طبقه اول ، پلاک 563,9971766831,5435314500,208792,1400/07/03,10861981861,955,عليرضا افراخته,,
u10103312980,افشاری نیکو و شرکا,تهران,تهران,خ آفریقا ، مرکز خرید الهیه ،پلاک 77,1911794971,26213122,287125,1400/09/13,10103312980,295123,رخندبانو عليزاده قمصري,,
u10320817095,افشین بهرمند و شریک,تهران,تهران,خيابان ستارخان، فلکه دوم صادقيه، برج گلديس، واحد 55,1451796397,2144288541,24325,1399/10/27,10320817095,428853,افشين بهرمند,,
u14007688187,المیرا ضرغامی و شرکاء,تهران,تهران,تهران - ولنجک - خیابان ولنجک - خیابان چهاردهم - پلاک 7 - پاساژ توچال - طبقه 1 - واحد 22,1985739393,2122172596,333280,1399/09/21,14007688187,527980,,,
u14007790687,الناز قلی پور ورکی و شرکاء,تهران,تهران,پونک شمالی، بزرگراه شهید آیت اله اشرفی اصفهانی، میدان پونک، پلاک صفر، مجتمع تجاری بوستان، پلاک ثبتی492 آبیA298، طبقه اول،‌ واحد 492,1476896549,2144493588,299682,1399/08/27,14007790687,530330,الناز قلي پوروركي,,
u14008068259,الهه جدیدی و شرکاء,کرمان,انار,استان کرمان ،شهرستان انار ،بخش انار، محله بالا ،خیابان امام خمینی، کوچه بوستان 18 ،پلاک صفر، طبقه همکف,7741914715,3434189001,147904,1400/05/02,14008068259,229,الهه جديدي داودآبادي,,
u14005586889,الهی و شرکاء,تهران,تهران,استان تهران ، شهر تهران ، زعفرانيه - خيابان مقدس اردبيلي - ميدان الف - مجتمع تجاري پالاديوم - پلاک 130,1986765748,22661250,215747,1399/06/20,14005586889,486563,عرفان الهي,,
u10380385857,الیاسی وشرکاء,خراسان رضوی,مشهد,بلوار سجاد، جنب بانک ملی ایران، نبش شمالی ساختمان البرز,9187816763,5137653919,24006,1401/02/02,10380385857,23120,احمدرضا الياسي,,
u14008438212,امان گل آزمون و شرکاء,گلستان,گنبدکاووس,میدان انقلاب، خیابان حافظ شمالی، خیابان مطهری، پلاک 397، پاساژ نادر آخوندزاده و شرکاء 33، طبقه همکف 09111794002,4971717514,1733227521,98/222364,1400/07/01,14008438212,7253,امان گل آزمون,,
u10860994903,امجدی و شرکا,قم,قم,خيابان ارم ، روبروي حرم ، روبروي در اتابکي، پلاک 276,3715796167,2537833148,374667,1400/11/23,10860994903,4701,ياسر امجدي,,
u14003280465,امراله شهابی و شرکا,بوشهر,بوشهر,خ حافظ- ميدان انقلاب- روبروي بانک تجارت- پلاک 73,7561736317,-7734652,153309,1401/05/19,14003280465,2046,امرالله شهابي,,
u14005919393,امید سعیدزمان و شرکاء,تهران,تهران,تهران - خیابان جمهوری اسلامی- نرسیده به چهارراه استانبول- پاساژ گلشن- پلاک 3,1135936918,2166769020,224488,1399/07/01,14005919393,493455,حمید دوستی,,
u10320848241,امید شاهواری و شرکا,تهران,تهران,خيابان ولی عصر(عج)روبروی دو راهی یوسف آباد پلاک1935,1595633145,2188890102,66958,1401/03/06,10320848241,434565,اميد شاهواري,,
u14008581895,امید فرجی و شرکا,آذربایجان غربی,ارومیه,خیابان امام نرسیده به میدان ولایت فقیه پلاک 24.2,5713653976,4432771251,276385,1400/08/01,14008581895,18122,اميد فرجي,,
u14006565340,امیدرحیمی مجذوب و شریک,تهران,تهران,تهران، ميدان فردوسي، خيابان پارس، خيابان انقلاب اسلامي، پلاک 802، طبقه همکف,1131963418,2166758255,99808,1400/11/01,14006565340,505575,اميد رحيمي مجذوب,,
u14007360352,امیر اکبریان‌ ملک کلائی و شرکاء,خراسان رضوی,مشهد,مشهد، خیابان امام خمینی، امام خمینی32، پلاک530، طبقه همکف,9136877689,5138119000,37005,1399/02/10,14007360352,63623,امير اكبريان ملك كلائي,,
u14005587136,امیر خادمان و شرکا,تهران,تهران,خيابان وليعصر-تقاطع طالقاني-مجتمع تجاري اداري نور تهران-طبقه همکف سوم-واحد 8083,1416794446,88227500,214387,1402/06/22,14005587136,486570,سپيده رفيعيان,,
u14007338380,امیر محمد بهرمند و شرکا,تهران,تهران,شهرک قدس خیابان سیمای ایران خیایبان شهید فرحزادی پلاک 0 مجتمع پارک خرید قدس (لیدوما) مرکز خرید قدس طبقه همکف واحد 4,1467686904,2186090710,405733,1398/12/14,14007338380,521351,آتوسا يعقوب آذري,,
u10320133763,امیر نجومی و فرزاد کشاورز,تهران,تهران,شهرک غرب - فاز یک- خیابان ایران زمین -مجتمع تجاری گلستان -طبقه همکف -واحد 163- کد پستی 1465813188,1465813188,2189280000,94/325404,1399/11/08,10320133763,360408,امير نجومي,,
u10320342512,امیر کیان پیشه و شرکاء,تهران,تهران,خیابان ولیعصر ،روبروی پارک ساعی، جنب پمپ بنزین ،ساختمان سپهر، پلاک 7، همکف,1433894134,,236930,1400/07/27,10320342512,385099,امير كيان پيشه,,
u14008548874,امیر یحیی جان نثاری و شرکا,تهران,تهران,استان تهران ، شهر تهران، محله ميدان فردوسي ، خيابان شهيد سروش الدين تقوي ، خيابان فردوسي ، پلاك 479 ، ساختمان مركز تجارت جهاني فردوسي ، طبقه همكف ، واحد 32,1145683699,,224569,1400/07/01,14008548874,545788,اميريحيي جان نثاري,,
u10320249088,امیرجمالی شاه بلاغی و شرکاء,تهران,تهران,بلوار میرداماد، تقاطع آفریقا، زیر پل میرداماد، ضلع شمالغربی، پلاک299، واحد2، کد پستی 1969633754,1969633754,2188202122,313827,1400/09/10,10320249088,376323,امير جمالي شاه بلاغي,,
u14008099726,امیرحسین توکل و شرکاء,مازندران,آمل,شهر آمل، محله اسپه کلا، بلوار آیت اله طالقانی، پلاک 96، طبقه همکف,4615739757,1144222227,140035,1400/04/29,14008099726,7777,اميرحسين توكل,,
u14005664622,امیرعلی بهبهانی و شرکاء,تهران,شمیرانات - تجریش,تهران - فرمانيه شرقي - مرکز خريد بام سنتر - پلاک 9 - واحد 9,1954664698,26148441,58190,1400/11/01,14005664622,488285,اميرعلي بهبهاني,,
u14006612210,امیرعلی خلیل آبادی و شرکاء,تهران,تهران,خیابان فردوسی، بالاتر از چهارراه کوشک، نبش کوچه تمدن، مجتمع تمدن، طبقه منفي يک، پلاک 2,1131944516,2166744689,158498,1399/05/10,14006612210,506586,سيدشهاب صفوي,,
u10320275356,امین اسدبیگی و شرکاء,تهران,تهران,اختیاریه، خیابان بهارستان دوم، خیابان پاسداران، پلاک 498 طبقه همکف,1958633515,,228200,1400/05/23,10320275356,377465,امين اسدبيگي,,
u14000274950,امین پاریا وشرکا,البرز,کرج,45متري گلشهر ، خيابان انوشيروان، پلاک13,3137633336,2633522967,63037,1401/03/02,14000274950,16747,زهرا ابدالي,,
u14007380030,امین تمجیدی و شرکاء,تهران,تهران,شهرک قدس- خیابان شهید حسن سیف - خیابان شهید محمد مهدی فرحزادی - پلاک 3 - مجتمع کامپیوتر شهرک غرب - طبقه همکف - واحد 20,1466813939,2188374060,46204,1399/02/18,14007380030,522158,,,
u10103930913,انور‌الدین شهیدی وشرکا,تهران,تهران,تهران - میدان فردوسی- ضلع جنوب غربی - پلاک25,113196378,66725900-66730106,284215,1400/09/07,10103930913,342505,انورالدين شهيدي,,
u10500078640,انورالسادات شهنوازی تاج و شرکا,سیستان و بلوچستان,زاهدان,جهارراه رسولي، پاساژ ايران، طبقه همکف ، پلاک 4830,9815845596,3224724-3224725,412910,1400/12/22,10500078640,4445,انورالسادات شهنوازي تاج,,
u14007121960,اکبر ارشدی و شرکاء,تهران,تهران,تهران، انقلاب اسلامی، خیابان انقلاب اسلامی، خیابان شهید استاد نجات الهی.پلاک43، طبقه همکف,1599915313,,402632,1400/10/20,14007121960,516752,اكبر ارشدي,,
u10860470664,اکبری و زمانی,آذربایجان شرقی,جلفا,آذربایجان شرقی، منطقه آزاد ارس، فلکه عاشورا، خیابان امام صادق، خیابان مطهری، طبقه همکف و کدپستی 5441647919,5441647919,,228210,1401/03/24,10860470664,235,نصرت اكبري,,
u14007309830,ایرج ابراهیمی و شرکاء,آذربایجان غربی,ارومیه,شیره پز خانه،‌ خیابان مطهری، کوچه افشاریان، پلاک 28، طبقه همکف,5718695451,,27862,1399/02/03,14007309830,17157,پرويز ابراهيمي,,
u14007517990,ایرج جعفری آزادو شرکاء,آذربایجان شرقی,تبریز,بازار کوچه بازار کفاشان خیابان شهید مدنی اول پلاک سیزده پاساژ امیرنو طبقه همکف,5134833738,4135237737,116584,1399/04/11,14007517990,46471,ايرج جعفري آزاد,,
u10860120639,ایزدی پور و شرکاء,هرمزگان,بندرجاسک,خیابان امام، میدان شهیدمصطفی خمینی، نرسیده به بانک صادرات، پلاک25,7979136195,9171654033,269934,1400/08/24,10860120639,93,ميرميلاد ايزدي پور,,
u14006123480,ایمان ادراکی و شرکاء,اصفهان,اصفهان,خیابان حکیم نظامی، نرسیده به خیابان خاقانی، پلاک 301,8175797363,3136250550,415833,1400/11/01,14006123480,56859,ايمان ادراكي,,
u14005798246,ایوب سلام زاده سلماسی و شرکاء,تهران,تهران,تهران، فلکه اول صادقيه، خيابان ستارخان، روبروي بانک سامان، پلاک 703,1451663483,88933148,236164,1402/07/09,14005798246,490940,ايوب سلام زاده سلماسي,,
u14006083062,بابک اردوخانی و شرکاء,تهران,تهران,میدان فردوسی ، ابتدای خیابان سپهبد قرنی ، بازار فرش عباسی ، پلاک 13,1581613178,,76170,1399/03/08,14006083062,496715,بابك اردوخاني,,
u14006006282,بابک بختیاری فرد و شرکاء,تهران,تهران,تهران،ميدان شوش، خيابان صابونيان، پاساژ شهرداري، طبقه مثبت يک، پلاک 9,1186678765,2155188672,149060,1403/05/05,14006006282,495262,عزيزاله ميرزائي كلي,,
u14008268441,بابک جهان آرا و شرکاء,تهران,تهران,استان تهران - شهر تهران - شهرک قدس -درختی - خیابان گلبرگ دوم غربی - خیابان بهارستان - پلاک 11 - طبقه همکف,1468833115,,213173,1400/06/01,14008268441,539908,بابك جهان آرا,,
u14005446865,بابک راکعی و شرکاء,آذربایجان شرقی,بناب,شهر بناب، باهنر، كوچه الهيه1 ، خيابان باهنر ، پاساژ الغدير ، طبقه زير زمين,5551931994,4137722918,332878,1402/09/21,14005446865,1567,بابك راكعي,,
u10320542251,بابک رحیمیان و شرکا,تهران,تهران,خيابان وزرا (خالد اسلامبولي)، نبش کوچه يکم، برج تجاري ستاره، پلاک 9، واحد 18,1513633337,,221504,1400/07/13,10320542251,402887,بابك رحيميان,,
u14005508409,باقی گوهری و شرکا,کردستان,بانه,بلوار شهداء، پاساژ اعتماد، طبقه همکف، پلاک 35-34,1400550840,8734236563,27839,1402/02/03,14005508409,744,,,
u14005925979,باقی مجیدی و شرکاء,کردستان,بانه,بانه، بلوار آزادی، جنب بانک کشاورزی,6691917583,8734224666,241265,1402/07/12,14005925979,760,حميد شباني,,
u10861504309,بختیاران و شرکاء,هرمزگان,قشم,مجتمع تجاري پرديس ، طبقه همکف ، واحد 6,7951633379,,70484,1400/03/05,10861504309,888,,,
u14000204939,برادران چراغی وشرکا,گلستان,گنبدکاووس,استان گلستان، گنبد کاووس، میدان انقلاب، خیابان طالقانی شرقی، پلاک1229، طبقه همکف,4971714111,2229733,211387,1401/07/06,14000204939,3221,محمدعلي چراغي,,
u10980265916,برادران حسنوی و شرکا,آذربایجان غربی,پیرانشهر,بازارچه مرزي تمرچين ، غرفه شماره 17,1111111111,4226530,315427,1400/10/06,10980265916,450,,,
u10104035137,برادران رحیمی ندوشن وشرکا,تهران,تهران,تهران ، محله داوودیه ، میدان مادر، بلوارمیرداماد ، پلاک 50 ، مجتمع تجاری مریم ، طبقه همکف ، واحد 10،,1546933955,2126405667,352170,1400/10/10,10104035137,358246,ليلا قاسمي,,
u14007575962,بهبود بختیاری و شرکاء,گیلان,رشت,گلسار - بلوار دیلمان - بلوار گلسار - ساختمان ره پیک - طبقه همکف,4165813748,1333761381,220393,1399/06/27,14007575962,21132,سيدمظفر ميربرگ كار,,
u14006202997,بهراد سیدزارع و شرکاء,تهران,شمیرانات - تجریش,تهران، لواسان، بلوار امام خمینی(ره)، مجتمع تجاری اسکای سنتر، جنب دادگستری، طبقه اول، واحد14,3341683115,2126570532,135351,1399/09/01,14006202997,499056,بهراد سيدزارع,,
u10103551426,بهرام محسنی و شرکا,تهران,تهران,خيابان جمهوري اسلامي ، بعد از چهارراه جمالزاده ، پلاک 1193,1313817511,66907002-6,325037,1400/10/13,10103551426,315422,اشكان محسني,,
u10320315486,بهروز قهرمانی و شرکاء,تهران,تهران,امانیه، خیابان خرسند، خیابان ولیعصر، پلاک 2755، مجتمع اداری گلستان، ورودی A، طبقه اول، واحد 1,1966713114,26211687-8,4748,1399/01/17,10320315486,380463,هادي قهرماني,,
u10680049837,بهروزشفیعی و شرکا,اصفهان,اصفهان,خ توحيد مياني ،نبش کوچه بهار,8173843451,3136271010,307351,1402/09/03,10680049837,41277,,,
u14007480835,بهزاد خانی و شرکاء,تهران,تهران,تهران، میدان فردوسی، کوچه تمدن، خیابان فردوسی، مجتمع تجاری و اداری تمدن، طبقه زیرزمین، واحد16,1131944511,,425709,1398/12/27,14007480835,524279,بهزاد خاني,,
u14005466163,بهزاد درخشان و شرکاء,تهران,شهریار,ابتداي خيابان ولي عصر،پاساژ زرين،طبقه زرين،پلاک 7,3351611156,2165265090,81916,1402/03/12,14005466163,5184,بهزاد درخشان,,
u10103688549,بهزاد زرین قلم و شرکا,تهران,تهران,ضلع شمال شرقي ميدان کاج ، پاساژ ابريشم طبقه همکف پلاک26,1998614148,22365836,233381,1400/07/25,10103688549,329148,بهزاد زرين قلم,,
u14006422129,بهمن رستمی نیری و شرکا,تهران,تهران,بازار بزرگ عباس آباد، کوچه حمام چال، پاساژ ملت، پلاک 79، طبقه اول,1163786345,2155891005,76160,1400/11/01,14006422129,502563,بهمن رستمي نيري,,
u10861346670,بهمن سیدعلیزاده و شرکاء(منطقه آزاد ارس),آذربایجان شرقی,جلفا,بخش مرکزی، شهر جلفا، امام خمینی، کوچه بازار مشترک، خیابان ولایت فقیه، پاساژ امیر، طبقه همکف,5441651451,,66969,1401/03/06,10861346670,268,بهمن سيدعلي زاده,,
u14005724084,بهمن مهین عبداله زاده و شرکا,تهران,تهران,خيابان ولي‌عصر(عج)، بالاتر از میدان ونک، خیابان دفينه، خیابان شهید علیرضا دامن افشار، پلاک 49، مجتمع اداری آبشار، طبقه اول، واحد 1,1969765153,57934,224260,1402/07/01,14005724084,489321,بهمن مهين عبداله زاده,,
u10861949730,بهمن نوبخت وشركاء منطقه آزادچابهار,سیستان و بلوچستان,منطقه آزاد چابهار,مجتمع تجاري پرديس ، طبقه همکف ، واحد 81,9971765734,55598101-55598116,374616,1400/11/23,10861949730,1469,صفر محمدي,,
u14007996043,بهنام صفروند و شرکاء,تهران,تهران,خيابان خالد اسلامبولي، پلاک 139، طبقه اول، واحد 1,1513933314,2188708577,375923,1399/10/22,14007996043,534903,,,
u10420231091,بیانی و شرکا,خوزستان,آبادان,استان خوزستان - شهرستان آبادان - بخش مركزي - شهر آبادان-اميري-خيابان فرعي 5-خيابان امام خميني-پلاك 287-طبقه اول,6316833473,6153222478,119335,1400/04/19,10420231091,3351,عبدالحسين بياني,,
u10720234671,بیت لفطه و شرکاء,تهران,تهران,خيابان پاسداران، ابتداي خيابان دولت، بعد از بانک ملي، پاساژ تجاری پرمهر، طبقه همکف، واحد35,1945883711,22553401-4,402172,1400/12/14,10720234671,394073,,,
u10420230924,بیرقی وشرکا,خوزستان,آبادان,خيابان شهرداري ، پلاک 197,6316856891,6153223080,341961,1399/11/21,10420230924,3334,,,
u10610077249,بینا و شرکاء,کردستان,سنندج,خيابان امام خميني (ره) ، پاساژ سنه ، پلاک 7,6614613696,8733164525,327674,1400/10/15,10610077249,4073,,,
